asdf


asddas2018-07-07 12:40:20,789 'a'
2018-07-07 12:40:20,934 's'
2018-07-07 12:40:21,017 'd'
2018-07-07 12:40:21,222 'f'
2018-07-07 12:40:21,414 'f'
2018-07-07 12:40:21,557 'f'
2018-07-07 12:40:21,718 'f'
2018-07-07 12:40:23,102 'a'
2018-07-07 12:40:23,286 's'
2018-07-07 12:40:23,933 'a'
2018-07-07 12:40:24,021 's'
2018-07-07 12:40:24,101 'd'
2018-07-07 12:40:24,265 'a'
2018-07-07 12:40:24,271 's'
2018-07-07 12:40:24,374 'd'
2018-07-07 12:40:38,437 Key.ctrl_l
2018-07-07 12:40:38,597 'a'
2018-07-07 12:40:39,422 Key.delete
2018-07-07 12:40:43,374 Key.ctrl_l
2018-07-07 12:40:43,533 'a'
2018-07-07 12:40:44,189 Key.delete
2018-07-07 12:40:54,029 Key.cmd
2018-07-07 12:40:55,214 'n'
2018-07-07 12:40:55,326 'o'
2018-07-07 12:40:55,484 't'
2018-07-07 12:40:55,549 'e'
2018-07-07 12:40:55,709 'a'
2018-07-07 12:40:56,597 Key.backspace
2018-07-07 12:40:56,773 'p'
2018-07-07 12:40:56,933 'a'
2018-07-07 12:40:57,205 'd'
2018-07-07 12:40:57,381 Key.enter
2018-07-07 12:40:58,965 't'
2018-07-07 12:40:59,053 'e'
2018-07-07 12:40:59,253 's'
2018-07-07 12:40:59,413 't'
2018-07-07 12:40:59,620 Key.enter
2018-07-07 12:40:59,997 '1'
2018-07-07 12:41:00,173 '2'
2018-07-07 12:41:00,269 '3'
2018-07-07 12:41:00,461 Key.enter
2018-07-07 12:41:00,829 't'
2018-07-07 12:41:00,937 'e'
2018-07-07 12:41:01,105 's'
2018-07-07 12:41:01,260 't'
2018-07-07 12:41:01,453 'e'
2018-07-07 12:41:02,694 'r'
2018-07-07 12:41:03,124 Key.enter
2018-07-07 12:41:03,965 's'
2018-07-07 12:41:04,117 's'
2018-07-07 12:41:04,269 's'
2018-07-07 12:41:04,414 's'
2018-07-07 12:41:04,597 Key.enter
2018-07-07 12:41:04,725 Key.enter
2018-07-07 12:41:04,869 Key.enter
2018-07-07 12:41:04,981 Key.enter
2018-07-07 12:41:05,125 Key.enter
2018-07-07 12:41:05,238 Key.enter
2018-07-07 12:41:05,365 'd'
2018-07-07 12:41:05,525 'd'
2018-07-07 12:41:05,668 'd'
2018-07-07 12:41:05,766 's'
2018-07-07 12:41:05,901 'a'
2018-07-07 12:41:05,989 's'
2018-07-07 12:41:06,077 'd'
2018-07-07 12:41:06,148 'a'
2018-07-07 12:41:06,293 'd'
2018-07-07 12:41:06,389 'a'
2018-07-07 12:41:06,405 's'
2018-07-07 12:41:06,541 'd'
2018-07-07 12:41:06,614 'a'
2018-07-07 12:41:06,645 's'
2018-07-07 12:41:06,733 'f'
2018-07-07 12:41:06,870 'a'
2018-07-07 12:41:06,949 'f'
2018-07-07 12:41:07,061 Key.enter
2018-07-07 12:41:07,189 Key.enter
2018-07-07 12:41:07,349 Key.enter
2018-07-07 12:41:07,492 Key.enter
2018-07-07 12:41:07,637 Key.enter
2018-07-07 12:41:07,765 Key.enter
2018-07-07 12:41:08,453 'a'
2018-07-07 12:41:08,493 'd'
2018-07-07 12:41:08,500 'k'
2018-07-07 12:41:08,525 'f'
2018-07-07 12:41:08,541 'j'
2018-07-07 12:41:08,581 'h'
2018-07-07 12:41:08,629 's'
2018-07-07 12:41:08,661 'd'
2018-07-07 12:41:08,693 'k'
2018-07-07 12:41:08,741 'g'
2018-07-07 12:41:08,773 'h'
2018-07-07 12:41:08,869 'a'
2018-07-07 12:41:08,877 's'
2018-07-07 12:41:08,916 'd'
2018-07-07 12:41:08,982 'g'
2018-07-07 12:41:09,101 's'
2018-07-07 12:41:09,109 'a'
2018-07-07 12:41:09,117 'j'
2018-07-07 12:41:09,124 'd'
2018-07-07 12:41:09,204 'g'
2018-07-07 12:41:09,212 'b'
2018-07-07 12:41:09,317 'a'
2018-07-07 12:41:09,325 'w'
2018-07-07 12:41:09,341 'i'
2018-07-07 12:41:09,437 'g'
2018-07-07 12:41:09,446 'h'
2018-07-07 12:41:09,541 's'
2018-07-07 12:41:09,549 'a'
2018-07-07 12:41:09,565 'd'
2018-07-07 12:41:09,652 'g'
2018-07-07 12:41:09,751 's'
2018-07-07 12:41:09,757 'f'
2018-07-07 12:41:09,773 'i'
2018-07-07 12:41:09,782 'l'
2018-07-07 12:41:09,805 'g'
2018-07-07 12:42:03,133 'p'
2018-07-07 12:42:03,509 'y'
2018-07-07 12:42:03,653 'w'
2018-07-07 12:42:03,892 Key.space
2018-07-07 12:42:04,069 't'
2018-07-07 12:42:04,164 'o'
2018-07-07 12:42:04,541 Key.space
2018-07-07 12:42:06,228 'e'
2018-07-07 12:42:06,389 '.'
2018-07-07 12:42:06,565 'x'
2018-07-07 12:42:06,789 'e'
2018-07-07 12:42:07,045 Key.backspace
2018-07-07 12:42:07,221 Key.backspace
2018-07-07 12:42:07,380 Key.backspace
2018-07-07 12:42:08,205 'x'
2018-07-07 12:42:08,356 'e'
2018-07-07 12:42:08,805 Key.enter
2018-07-07 12:42:51,572 'p'
2018-07-07 12:42:51,687 'l'
2018-07-07 12:42:51,895 'u'
2018-07-07 12:42:52,052 'g'
2018-07-07 12:42:52,327 'i'
2018-07-07 12:42:53,183 Key.enter
2018-07-07 12:42:55,429 'p'
2018-07-07 12:42:55,772 'y'
2018-07-07 12:42:56,020 '2'
2018-07-07 12:42:57,692 'e'
2018-07-07 12:42:57,884 'x'
2018-07-07 12:42:58,188 'e'
2018-07-07 12:42:58,444 Key.enter
2018-07-07 12:43:27,043 'p'
2018-07-07 12:43:27,187 'i'
2018-07-07 12:43:27,331 'p'
2018-07-07 12:43:27,507 Key.space
2018-07-07 12:43:27,620 'i'
2018-07-07 12:43:27,867 'n'
2018-07-07 12:43:28,123 's'
2018-07-07 12:43:28,347 't'
2018-07-07 12:43:28,540 'a'
2018-07-07 12:43:28,715 'l'
2018-07-07 12:43:28,876 'l'
2018-07-07 12:43:30,060 'p'
2018-07-07 12:43:30,588 Key.backspace
2018-07-07 12:43:30,732 Key.space
2018-07-07 12:43:30,828 'p'
2018-07-07 12:43:31,556 'u'
2018-07-07 12:43:31,724 '2'
2018-07-07 12:43:32,020 'e'
2018-07-07 12:43:32,459 'x'
2018-07-07 12:43:32,651 'e'
2018-07-07 12:43:33,132 Key.enter
2018-07-07 12:43:36,179 Key.up
2018-07-07 12:43:36,652 Key.left
2018-07-07 12:43:36,828 Key.left
2018-07-07 12:43:36,980 Key.left
2018-07-07 12:43:37,100 Key.left
2018-07-07 12:43:38,268 'y'
2018-07-07 12:43:39,659 Key.backspace
2018-07-07 12:43:39,836 Key.backspace
2018-07-07 12:43:40,124 'y'
2018-07-07 12:43:41,164 Key.enter
2018-07-07 12:44:10,443 Key.ctrl_l
2018-07-07 12:44:10,587 'a'
2018-07-07 12:44:11,236 Key.backspace
